id,lat,lon,k,v
371129575,41.9936657,21.4428736,name,НБРМ
416030019,41.9881468,21.4552843,amenity,bank
416030019,41.9881468,21.4552843,int_name,Stopanska Banka
416030019,41.9881468,21.4552843,name,Стопанска Банка
416030019,41.9881468,21.4552843,name:en,Stopanska Banka
416030019,41.9881468,21.4552843,operator,Стопанска Банка АД - Скопје
416030021,41.9881141,21.45507,addr:housenumber,12
416030021,41.9881141,21.45507,addr:street,Булевар Јане Сандански
416030021,41.9881141,21.45507,amenity,bank
416030021,41.9881141,21.45507,name,Охридска Банка
459670407,41.9947783,21.4335756,amenity,bank
459670407,41.9947783,21.4335756,operator,Уни Банка
459670746,41.9957098,21.4332758,amenity,bank
459670746,41.9957098,21.4332758,int_name,Stopanska Banka
459670746,41.9957098,21.4332758,name,Стопанска банка
459670746,41.9957098,21.4332758,name:en,Stopanska Banka
459670746,41.9957098,21.4332758,operator,Стопанска Банка АД - Скопје
547985718,41.9860412,21.4428016,addr:housenumber,20
547985718,41.9860412,21.4428016,addr:street,3та Македонска Бригада бр.1
547985718,41.9860412,21.4428016,amenity,bank
547985718,41.9860412,21.4428016,name,Тутунска Банка
547985718,41.9860412,21.4428016,operator,Тутунска Банка
552769113,42.0311804,21.4447847,amenity,bank
552769113,42.0311804,21.4447847,name,Халкбанк
1307183572,42.005028,21.3833142,amenity,bank
1307183572,42.005028,21.3833142,atm,yes
1307183572,42.005028,21.3833142,name,Тутунска Банка Карпош 4
1307183572,42.005028,21.3833142,operator,НЛБ - Тутунска Банка
1475404508,42.0073792,21.3682515,amenity,bank
1475404508,42.0073792,21.3682515,atm,yes
1475404508,42.0073792,21.3682515,name,Stopanska banka
1475404523,42.0063452,21.3681939,amenity,bank
1475404523,42.0063452,21.3681939,atm,yes
1475404523,42.0063452,21.3681939,name,Тутунска банка
1475404526,42.0075172,21.3683899,amenity,bank
1475404526,42.0075172,21.3683899,atm,yes
1475404526,42.0075172,21.3683899,name,Komercijalna banka
1475404533,42.0069351,21.3650349,amenity,bank
1475404533,42.0069351,21.3650349,atm,yes
1475404533,42.0069351,21.3650349,name,Komercijalna banka
1615760049,42.0036469,21.3970663,amenity,bank
1615760049,42.0036469,21.3970663,name,НЛБ Тутунска Банка
1615760049,42.0036469,21.3970663,name:en,NLB Tutunska Banka
1618605216,41.9916695,21.4244409,addr:street,Железничка
1618605216,41.9916695,21.4244409,amenity,bank
1618605216,41.9916695,21.4244409,brand,Halkbank
1618605216,41.9916695,21.4244409,name,Зират Банка
1618605216,41.9916695,21.4244409,name:en,Zirat Bank
1747986348,41.9876902,21.4327574,amenity,bank
1747986348,41.9876902,21.4327574,operator,Стопанска Банка
1851476148,41.9941727,21.4425119,amenity,bank
1851476148,41.9941727,21.4425119,name,Централен Регистер на РМ
1860283429,42.0029983,21.4641508,amenity,bank
1860283429,42.0029983,21.4641508,atm,yes
1860283429,42.0029983,21.4641508,int_name,Stopanska Banka
1860283429,42.0029983,21.4641508,name,Стопанска банка
1860283429,42.0029983,21.4641508,name:en,Stopanska banka
1860283429,42.0029983,21.4641508,operator,Стопанска банка АД - Скопје
2276499906,41.9947725,21.4100251,amenity,bank
2276499906,41.9947725,21.4100251,atm,yes
2276499906,41.9947725,21.4100251,int_name,Komercijalna Banka
2276499906,41.9947725,21.4100251,name,Комерцијална Банка
2276499906,41.9947725,21.4100251,name:en,Komercijalna Banka
2276499906,41.9947725,21.4100251,operator,Комерцијална Банка АД Скопје
2335276894,42.0064278,21.357664,addr:postcode,1000
2335276894,42.0064278,21.357664,amenity,bank
2335276894,42.0064278,21.357664,int_name,Šparkase
2335276894,42.0064278,21.357664,name,Шпаркасе
2335276894,42.0064278,21.357664,name:en,Sparkasse
2335276894,42.0064278,21.357664,name:mk,Шпаркасе Банка-Ѓорче Петров
2335276894,42.0064278,21.357664,opening_hours,Mo-Fr 08:30-16:30
2335276894,42.0064278,21.357664,phone,+389 2 2050514
2335276894,42.0064278,21.357664,website,https://sparkasse.mk
2335276905,42.0065755,21.3596919,addr:housenumber,1
2335276905,42.0065755,21.3596919,addr:postcode,1000
2335276905,42.0065755,21.3596919,addr:street,Мице Козар
2335276905,42.0065755,21.3596919,amenity,bank
2335276905,42.0065755,21.3596919,name,Sparkasse
2335276905,42.0065755,21.3596919,opening_hours,Mo-Fr 08:30-16:30
2335276905,42.0065755,21.3596919,phone,+389 02 2050260
2335276905,42.0065755,21.3596919,website,http://www.ob.com.mk
2335304828,41.9818419,21.4400132,addr:city,Cкoпje
2335304828,41.9818419,21.4400132,addr:city:en,Skopje
2335304828,41.9818419,21.4400132,addr:country,MK
2335304828,41.9818419,21.4400132,addr:postcode,1000
2335304828,41.9818419,21.4400132,amenity,bank
2335304828,41.9818419,21.4400132,atm,yes
2335304828,41.9818419,21.4400132,int_name,Šparkase
2335304828,41.9818419,21.4400132,name,Шпаркасе
2335304828,41.9818419,21.4400132,name:en,Sparkasse
2335304828,41.9818419,21.4400132,operator,Шпаркасе Банка Македонија АД Скопје
2335304834,42.0136832,21.4452794,addr:city,Cкoпje
2335304834,42.0136832,21.4452794,addr:city:en,Skopje
2335304834,42.0136832,21.4452794,addr:country,MK
2335304834,42.0136832,21.4452794,addr:postcode,1000
2335304834,42.0136832,21.4452794,addr:street,Булевар Цветан Димов
2335304834,42.0136832,21.4452794,amenity,bank
2335304834,42.0136832,21.4452794,int_name,Šparkase
2335304834,42.0136832,21.4452794,name,Шпаркасе
2335304834,42.0136832,21.4452794,name:en,Sparkasse
2335304834,42.0136832,21.4452794,operator,Шпаркасе Банка Македонија АД Скопје
2365723919,41.9967666,21.4998637,amenity,bank
2365723919,41.9967666,21.4998637,name,Комерцијална Банка
2882119234,41.980457,21.4723253,amenity,bank
2882119234,41.980457,21.4723253,name,Комерцијална Банка
2884502160,41.9810724,21.4752946,amenity,bank
2884502160,41.9810724,21.4752946,name,Стопанска Банка
2884502162,41.982843,21.4724684,amenity,bank
2884502162,41.982843,21.4724684,name,Централна Кооперативна Банка
2884502163,41.9741156,21.4724627,amenity,bank
2884502163,41.9741156,21.4724627,name,Комерцијална Банка
2884502164,41.9847822,21.4681788,amenity,bank
2884502164,41.9847822,21.4681788,name,Прокредит Банка
2884502165,41.9862724,21.4637512,amenity,bank
2884502165,41.9862724,21.4637512,name,ТТК Банка
2884502166,41.9867167,21.4629871,amenity,bank
2884502166,41.9867167,21.4629871,name,Стопанска Банка
2884502167,41.9894468,21.4600367,amenity,bank
2884502167,41.9894468,21.4600367,atm,yes
2884502167,41.9894468,21.4600367,name,NLB Тутунска Банка
2884502183,41.9892067,21.4502163,amenity,bank
2884502183,41.9892067,21.4502163,atm,yes
2884502183,41.9892067,21.4502163,name,Komercijalna Banka
2886274890,41.9846465,21.4390666,amenity,bank
2886274890,41.9846465,21.4390666,atm,yes
2886274890,41.9846465,21.4390666,name,NLB Тутунска Банка
2887575838,41.9870236,21.4624841,amenity,bank
2887575838,41.9870236,21.4624841,name,Охридска Банка
3026549094,42.0028422,21.4011278,amenity,bank
3026549094,42.0028422,21.4011278,atm,yes
3026549094,42.0028422,21.4011278,int_name,Komercijalna Banka
3026549094,42.0028422,21.4011278,name,Комерцијална Банка
3026549094,42.0028422,21.4011278,name:en,Komercijalna Banka
3026549094,42.0028422,21.4011278,operator,Комерцијална Банка АД Скопје
3101725381,41.9940162,21.4423152,amenity,bank
3101725381,41.9940162,21.4423152,name,Stopanska Banka
3341289787,41.9928192,21.4299102,addr:city,Скопје
3341289787,41.9928192,21.4299102,addr:postcode,1000
3341289787,41.9928192,21.4299102,addr:street,Македонија
3341289787,41.9928192,21.4299102,amenity,bank
3341289787,41.9928192,21.4299102,atm,yes
3341289787,41.9928192,21.4299102,int_name,Komercijalna Banka
3341289787,41.9928192,21.4299102,name,Комерцијална Банка
3341289787,41.9928192,21.4299102,name:en,Komercijalna Bank
3787600182,41.9809376,21.4405306,amenity,bank
3787600182,41.9809376,21.4405306,name,Стопанска Банка
4012028345,41.998869,21.4205887,amenity,bank
4012028345,41.998869,21.4205887,atm,yes
4012028345,41.998869,21.4205887,int_name,Stopanska Banka
4012028345,41.998869,21.4205887,name,Стопанска Банка
4012028345,41.998869,21.4205887,name:en,Stopanska Banka
4012028345,41.998869,21.4205887,operator,Стопанска Банка АД - Скопје
4012028346,41.9987428,21.4214196,amenity,bank
4012028346,41.9987428,21.4214196,atm,yes
4012028346,41.9987428,21.4214196,name,Комерцијална Банка
4012028346,41.9987428,21.4214196,name:en,Komercijalna Bank
4012028346,41.9987428,21.4214196,opening_hours,Mo-Fr 07:30-18:00; Sa 08:00-13:00
4012028346,41.9987428,21.4214196,operator,Комерцијална Банка АД Скопје
4059895435,41.9937486,21.4177179,amenity,bank
4059895435,41.9937486,21.4177179,name,Шпаркасе Банка
4059895436,41.9938028,21.4172424,amenity,bank
4059895436,41.9938028,21.4172424,name,Охридска Банка
4144098451,42.0046642,21.3909854,amenity,bank
4144098451,42.0046642,21.3909854,atm,yes
4144098451,42.0046642,21.3909854,int_name,Komercijalna Banka
4144098451,42.0046642,21.3909854,level,0
4144098451,42.0046642,21.3909854,name,Комерцијална Банка
4144098451,42.0046642,21.3909854,name:en,Komercijalna Banka
4144098451,42.0046642,21.3909854,operator,Комерцијална Банка АД Скопје
4144098451,42.0046642,21.3909854,wheelchair,yes
4266034097,41.9846955,21.4387451,amenity,bank
4266034097,41.9846955,21.4387451,name,Комерцијална Банка
4448978289,41.9833896,21.4392671,amenity,bank
4448978289,41.9833896,21.4392671,name,Уни Банка - Кисела Вода
4448978289,41.9833896,21.4392671,name:mk,Уни Банка - Кисела Вода
4459578970,41.9952945,21.4345705,addr:city,Cкoпje
4459578970,41.9952945,21.4345705,addr:city:en,Skopje
4459578970,41.9952945,21.4345705,addr:country,MK
4459578970,41.9952945,21.4345705,addr:housenumber,28
4459578970,41.9952945,21.4345705,addr:postcode,1000
4459578970,41.9952945,21.4345705,addr:street,Кеј 13 Ноември
4459578970,41.9952945,21.4345705,addr:street:en,Kay 13th November
4459578970,41.9952945,21.4345705,amenity,bank
4459578970,41.9952945,21.4345705,atm,yes
4459578970,41.9952945,21.4345705,int_name,NLB Tutunska banka
4459578970,41.9952945,21.4345705,name,НЛБ Тутунска банка
4502199191,41.9952676,21.4296796,amenity,bank
4502199191,41.9952676,21.4296796,name,ПроКредит
4502199191,41.9952676,21.4296796,name:mk,procredit
4573205007,42.0034052,21.3964504,amenity,bank
4573205007,42.0034052,21.3964504,atm,yes
4573205007,42.0034052,21.3964504,level,0
4573205007,42.0034052,21.3964504,name,Halkbank
4573205016,42.0033742,21.3966968,amenity,bank
4573205016,42.0033742,21.3966968,atm,yes
4573205016,42.0033742,21.3966968,level,0
4573205016,42.0033742,21.3966968,name,Шпаркасе
4573205016,42.0033742,21.3966968,name:en,Sparkasse
4594432367,41.9955887,21.4336687,amenity,bank
4594432367,41.9955887,21.4336687,int_name,Stopanska Banka
4594432367,41.9955887,21.4336687,name,Стопанска банка
4594432367,41.9955887,21.4336687,name:en,Stopanska Banka
4594432367,41.9955887,21.4336687,operator,Стопанска Банка АД - Скопје
4740732822,42.0024666,21.3975443,amenity,bank
4740732822,42.0024666,21.3975443,name,Sparkasse
4740732822,42.0024666,21.3975443,name:en,Ohridska Banka
4740732822,42.0024666,21.3975443,name:mk,Охридска Банка
4742916122,41.993632,21.4109915,addr:housenumber,1
4742916122,41.993632,21.4109915,addr:street,Франклин Рузвелт
4742916122,41.993632,21.4109915,amenity,bank
4742916122,41.993632,21.4109915,email,tb.kapistec@nlb.mk
4742916122,41.993632,21.4109915,name,НЛБ Тутунска Банка
4742916122,41.993632,21.4109915,opening_hours,Mo-Su 08:00-17:00
4742916122,41.993632,21.4109915,phone,+38923089090
4742916122,41.993632,21.4109915,website,http://www.nlb.mk
5054709626,42.0035989,21.5041694,amenity,bank
5054709626,42.0035989,21.5041694,atm,yes
5054709626,42.0035989,21.5041694,drive_through,no
5054709626,42.0035989,21.5041694,name,НЛБ Тутунска Банка
5054709626,42.0035989,21.5041694,website,http://www.nlbtb.com.mk/
5131823434,41.9948876,21.4276102,amenity,bank
5131823434,41.9948876,21.4276102,name,TTK
5333318375,42.0029303,21.4004646,amenity,bank
5333318375,42.0029303,21.4004646,name,УНИБанка
5333318375,42.0029303,21.4004646,name:en,UNIBank
5333318375,42.0029303,21.4004646,website,http://www.unibank.com.mk/
5333318378,42.0028742,21.4008798,amenity,bank
5333318378,42.0028742,21.4008798,name,TTK Bank
5731830652,41.9934567,21.4326259,amenity,bank
5731830652,41.9934567,21.4326259,name,Halkbank
6054036209,41.9963482,21.4276726,amenity,bank
6054036209,41.9963482,21.4276726,atm,yes
6054036209,41.9963482,21.4276726,drive_through,no
6054036209,41.9963482,21.4276726,name,НЛБ Банка
6054036209,41.9963482,21.4276726,name:en,NLB Bank
6054036209,41.9963482,21.4276726,opening_hours,Mo-Fr 08:00-17:00; Sa 09:00-13:00
6054036209,41.9963482,21.4276726,operator,НЛБ Банка АД Скопје
6054036209,41.9963482,21.4276726,website,https://nlb.mk/
6054037094,41.9937523,21.4275923,amenity,bank
6054037094,41.9937523,21.4275923,name,Sparkasse
6054048502,42.0067272,21.356997,amenity,bank
6054048502,42.0067272,21.356997,name,Стопанска Банка
6054048711,42.0069917,21.3658492,amenity,bank
6054048711,42.0069917,21.3658492,atm,yes
6054048711,42.0069917,21.3658492,name,Komercijalna Banka
6054048715,41.9984708,21.4225838,amenity,bank
6054048715,41.9984708,21.4225838,name,Silk road
6054048723,41.9993025,21.4184814,amenity,bank
6054048723,41.9993025,21.4184814,atm,yes
6054048723,41.9993025,21.4184814,name,Sparkasse
6054049799,42.0080679,21.3687237,amenity,bank
6054049799,42.0080679,21.3687237,atm,yes
6054049799,42.0080679,21.3687237,name,Silkroad Bank
6054050096,41.9991977,21.4189624,amenity,bank
6054050096,41.9991977,21.4189624,name,Halbank
6137491236,41.9876789,21.4327865,amenity,bank
6137491236,41.9876789,21.4327865,name,Стопанска Банка
6275107313,41.999175,21.4391635,addr:street,Булевар Гоце Делчев
6275107313,41.999175,21.4391635,amenity,bank
6275107313,41.999175,21.4391635,name,Western Union
6277304326,42.0142495,21.4457121,addr:street,Булевар Христијан Тодоровски Карпош
6277304326,42.0142495,21.4457121,amenity,bank
6277304326,42.0142495,21.4457121,atm,yes
6277304326,42.0142495,21.4457121,name,Halkbank
6279058422,42.0304003,21.4447546,amenity,bank
6279058422,42.0304003,21.4447546,atm,yes
6279058422,42.0304003,21.4447546,name,НЛБ Тутунска Банка
6279225885,42.0065882,21.3590935,addr:housenumber,27
6279225885,42.0065882,21.3590935,addr:street,Булевар Ѓорче Петров
6279225885,42.0065882,21.3590935,amenity,bank
6279225885,42.0065882,21.3590935,name,Halkbank
6281492651,42.0022117,21.4401439,addr:street,Булевар Крсте Мисирков
6281492651,42.0022117,21.4401439,amenity,bank
6281492651,42.0022117,21.4401439,name,Стопанска Банка
6281672845,42.0037315,21.3318349,amenity,bank
6281672845,42.0037315,21.3318349,name,NLB Banka
6281993277,42.0134893,21.4426424,addr:street,Џон Кенеди
6281993277,42.0134893,21.4426424,amenity,bank
6281993277,42.0134893,21.4426424,name,Охридска Банка
6287292136,41.9837535,21.4701282,addr:street,Булевар Јане Сандански
6287292136,41.9837535,21.4701282,amenity,bank
6287292136,41.9837535,21.4701282,atm,yes
6287292136,41.9837535,21.4701282,name,Шпаркасе
6287292136,41.9837535,21.4701282,name:en,Sparkasse
6812641691,41.9995612,21.4260008,amenity,bank
6812641691,41.9995612,21.4260008,name,NLB
6814246720,41.9994143,21.4373437,amenity,bank
6814246720,41.9994143,21.4373437,name,NLB
6814246721,41.9994185,21.4374802,amenity,bank
6814246721,41.9994185,21.4374802,name,Halk
6815559785,41.9995003,21.4175894,amenity,bank
6815559785,41.9995003,21.4175894,name,NLB
6815931290,41.9951941,21.4330782,amenity,bank
6815931290,41.9951941,21.4330782,name,Стопанска банка
6821158391,41.992781,21.4254378,amenity,bank
6821158391,41.992781,21.4254378,name,NLB
